developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
,,,,2021-02-11,local-authority-eng:EHE,3_XX_XXXX_XX,,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/1388272EE92763A2FB7A7E95D9E31D9F/pdf/3_15_1691_OUT-S106-1369666.pdf,,2021-02-11,local-authority-eng:EHE,3_15_1691_OUT,2019-04-10,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/9D6256778D14211E59EC888F045CD1C5/pdf/3_17_1222_VAR-SUPPLEMENTARY_AGREEMENT_UNDER_S106A_-_10_APRIL_2019-1375019.pdf,,2021-02-11,local-authority-eng:EHE,3_17_1222_VAR,2019-04-10,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/8A39D59A7D42B9D1F92E9BF5712B3985/pdf/3_17_1537_FUL-S106-1388100.pdf,,2021-02-11,local-authority-eng:EHE,3_17_1537_FUL,2019-06-05,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/24D94CAE61D2F5AD5A3DF363EE94D76B/pdf/3_18_0031_FUL-SECTION_106_DATED_16TH_JULY-1405374.pdf,,2021-02-11,local-authority-eng:EHE,3_18_0031_FUL,2019-07-16,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/AFC980ABEDFD1594E101870D3310EB7F/pdf/3_18_1234_FUL-S106_AGREEMENT_18-SEPTEMBER-2019-1456636.pdf,,2021-02-11,local-authority-eng:EHE,3_18_1234_FUL,2019-09-18,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/0DC5F8F3DB38371D350E3986A3B5D12F/pdf/3_18_2457_FUL-SECTION_106_AGREEMENT-1448370.pdf,,2021-02-11,local-authority-eng:EHE,3_18_2457_FUL,2019-10-24,
,,https://publicaccess.eastherts.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PNC4KEGLI6P00,,2021-02-11,local-authority-eng:EHE,3_19_0408_FUL,2019-10-28,
,,https://publicaccess.eastherts.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PDTGFFGLFNO00,,2021-02-11,local-authority-eng:EHE,3_18_1898_VAR,2019-12-19,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/F8BE80C7324FF64CEEB1CE0BA77E89EC/,,2021-02-11,local-authority-eng:EHE,3_18_2253_OUT,2019-12-19,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/06397A2417F6E799EF8E8EC73090FB06/pdf/3_18_2465_OUT-S106-1487157.pdf,,2021-02-11,local-authority-eng:EHE,3_18_2465_OUT,2019-12-19,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/942EE06CC1F5C8B25648B032ABEBC676/pdf/3_15_1011_FUL-S106-1477933.pdf,,2021-02-11,local-authority-eng:EHE,3_15_1011_FUL,2020-01-15,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/020F696CBE1BFBD466E2697864C91224/pdf/3_18_1523_FUL-S106-1478411.pdf,,2021-02-11,local-authority-eng:EHE,3_18_1523_FUL,2020-01-16,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/B89E6232EF46B8E5FF5A559B9AB01268/pdf/3_19_0308_FUL-SECTION_106_AGREEMENT_23-01-2020-1481318.pdf,,2021-02-11,local-authority-eng:EHE,3_19_0308_FUL (replaces 3_17_0645_FUL),2020-01-23,
,,https://publicaccess.eastherts.gov.uk/online-applications/files/8EECC758B79CCDC0B58A6ECB9DD4386E/pdf/3_18_1760_FUL-SECTION_106-1541060.pdf,,2021-02-11,local-authority-eng:EHE,3_18_1760_FUL,2020-03-27,
